"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ANKRD29" "ANKRD29" 0.310882151679105 0.209235417382942
"ANKRD31" "ANKRD31" 0.800246762983968 6.66445056561493e-05
"ANKRD33B" "ANKRD33B" 0.521797564402929 0.0263470454907599
"ANKRD34A" "ANKRD34A" 0.412432185037641 0.0889691884644873
"ANKRD34B" "ANKRD34B" 0.450113778553612 0.0608824995589713
"ANKRD35" "ANKRD35" 0.581832052886099 0.0113072469823699
"ANKRD36" "ANKRD36" 0.787506237731099 0.000104663913483554
"ANKRD36B" "ANKRD36B" 0.646291175518312 0.0037559663478675
"ANKRD36C" "ANKRD36C" 0.721614162795824 0.000723349521731829
"ANKRD37" "ANKRD37" 0.469896827979776 0.04910648158032
"ANKRD39" "ANKRD39" 0.713363604465642 0.000887644788817003
"ANKRD40" "ANKRD40" 0.753486152395109 0.000305546608573301
"ANKRD42" "ANKRD42" -0.195292709852761 0.437396815550278
"ANKRD44" "ANKRD44" 0.700775883912159 0.001197498125253
